B;6;1;LINDA;KAY;MILLER;1988;NC;NA;ASHEVILLE
B;7;2;BILL;DAVID;WILSON;1965;NC;NA;DURHAM
B;8;3;BARBARA;JEAN;MOOR;1995;NC;NA;CHARLOTTE
B;9;4;RICHARD;;TAYLOR;1978;SC;NA;RALEIGH
B;10;5;SUSAN;MARIE;ANDERSON;1982;NC;NA;WILMINGTON
B;11;6;CHARLES;EDWARD;THOMAS;1969;VA;NA;NORFOLK
B;12;7;KAREN;ELIZABETH;JACKSON;1991;NC;NA;CARY
B;13;8;THOMAS;RAY;WHITE;1977;SC;NA;COLOMBIA
B;14;9;NANCY;LOUISE;HARRIS;1983;NC;NA;ASHEVILLE
B;15;10;DANIEL;JOSEPH;MARTIN;1993;VA;NA;RICHMOND
B;16;11;lisa;michelle;thompson;1986;nc;na;durham
B;17;12;PAUL;ANTHONY;GARCIA;1974;SC;NA;CHARLESTON
B;18;13;BETTY;ANN;MARTINEZ;1968;NC;NA;RALEIGH
B;19;14;MARK;STEVEN;ROBINSON;1989;VA;NA;NORFOLK
B;20;15;SANDRA;KAY;CLARK;1979;NC;NA;GREENSBORO
B;21;16;GEORGE;HENRY;RODRIGUEZ;1971;SC;NA;COLUMBIA
B;22;17;DONNA;;LEWIS;1984;NC;NA;WILMINGTON
B;23;18;KENNETH;RAY;LEE;1992;VA;NA;RICHMOND
B;24;19;CAROL;SUE;WALKER;1976;NC;NA;CARY
B;25;20;STEVE;MICHAEL;HALL;1987;SC;NA;CHARLESTON
B;26;21;RUTH;ANN;ALLEN;1966;NC;NA;DURHAM
B;27;22;ED;JOHN;YOUNG;1994;VA;NA;NORFOLK
B;28;23;SHARON;KAY;HERNANDES;1981;NC;NA;ASHEVILLE
B;29;24;BRIAN;LEE;KING;1973;SC;NA;RALEIGH
B;30;25;CYNTHIA;MARIE;WRITE;1990;NC;NA;CHARLOTTE
B;7;26;WILLIAM;DAVID;WILSON;1965;NC;NA;DURHAM
B;13;27;THOMAS;RAY;WHITE;1977;SC;NA;COLUMBIA
B;25;28;STEVEN;MICHAEL;HALL;1987;SC;NA;CHARLESTON
