C;11;C1;CHARLES;EDWARD;THOMAS;1969;VA;NA;NORFOLK
C;12;C2;KAREN;;JACKSON;1991;NC;NA;CARY
C;13;C3;TOM;RAY;WHITE;1977;SC;NA;COLUMBIA
C;14;C4;NANCY;LOUISE;HARIS;1983;NC;NA;ASHEVILLE
C;15;C5;DANIEL;JOSEPH;MARTIN;1993;VA;NA;RICHMOND
C;16;C6;LISA;MICHELLE;THOMPSON;1986;NC;NA;DURHAM
C;17;C7;paul;anthony;garcia;1974;sc;na;charleston
C;18;C8;BETTY;ANN;MARTINES;1968;NC;NA;RALEIGH
C;19;C9;MARK;STEVEN;ROBINSON;1989;VA;NA;NORFOLK
C;20;C10;SANDRA;KAY;CLARKE;1979;NC;NA;GREENSBORO
C;21;C11;GEORGE;HENRY;RODRIGUEZ;1971;SC;NA;COLUMBIA
C;22;C12;DONNA;MARIE;LEWIS;1984;NC;NA;WILMINGTON
C;23;C13;KEN;RAY;LEE;1992;VA;NA;RICHMOND
C;24;C14;CAROL;SUE;WALKER;1976;NC;NA;CARY
C;25;C15;STEVEN;MICHAEL;HALL;1987;SC;NA;CHARLESTON
C;26;C16;RUTH;ANN;ALLEN;1966;NC;NA;DURHAM
C;27;C17;EDWARD;JOHN;YOUNG;1994;VA;NA;NORFOLK
C;28;C18;SHARON;KAY;HERNANDEZ;1981;NC;NA;ASHEVILLE
C;29;C19;BRIAN;;KING;1973;SC;NA;RALEIGH
C;30;C20;CYNTHIA;MARIE;WRIGHT;1990;NC;NA;CHARLOTTE
C;13;C21;THOMAS;RAY;WHITE;1977;SC;NA;COLUMBIA
C;19;C22;MARK;STEVEN;ROBINSON;1989;VA;NA;NORFOLK
C;28;C23;SHARON;KAY;HERNANDEZ;1981;NC;NA;ASHEVILLE
