A;1;1;JOHN;MICHAEL;SMITH;1980;NC;NA;RALEIGH
A;2;2;MARY;ANN;JOHNSON;1975;NC;NA;DURHAM
A;3;3;ROBERT;LEE;WILLIAMS;1990;SC;NA;CHARLOTTE
A;4;4;PATRICIA;SUE;BROWN;1985;NC;NA;GREENSBORO
A;5;5;JAMES;EARL;DAVIS;1972;VA;NA;RALEIGH
A;6;6;LINDA;KAY;MILLER;1988;NC;NA;ASHEVILLE
A;7;7;WILLIAM;DAVID;WILSON;1965;NC;NA;DURHAM
A;8;8;BARBARA;JEAN;MOORE;1995;NC;NA;CHARLOTTE
A;9;9;RICHARD;ALLEN;TAYLOR;1978;SC;NA;RALEIGH
A;10;10;SUSAN;MARIE;ANDERSON;1982;NC;NA;WILMINGTON
A;11;11;CHARLES;EDWARD;THOMAS;1969;VA;NA;NORFOLK
A;12;12;KAREN;ELIZABETH;JACKSON;1991;NC;NA;CARY
A;13;13;THOMAS;RAY;WHITE;1977;SC;NA;COLUMBIA
A;14;14;NANCY;LOUISE;HARRIS;1983;NC;NA;ASHEVILLE
A;15;15;DANIEL;JOSEPH;MARTIN;1993;VA;NA;RICHMOND
A;16;16;LISA;MICHELLE;THOMPSON;1986;NC;NA;DURHAM
A;17;17;PAUL;ANTHONY;GARCIA;1974;SC;NA;CHARLESTON
A;18;18;BETTY;ANN;MARTINEZ;1968;NC;NA;RALEIGH
A;19;19;MARK;STEVEN;ROBINSON;1989;VA;NA;NORFOLK
A;20;20;SANDRA;KAY;CLARK;1979;NC;NA;GREENSBORO
A;21;21;GEORGE;HENRY;RODRIGUEZ;1971;SC;NA;COLUMBIA
A;22;22;DONNA;MARIE;LEWIS;1984;NC;NA;WILMINGTON
A;23;23;KENNETH;RAY;LEE;1992;VA;NA;RICHMOND
A;24;24;CAROL;SUE;WALKER;1976;NC;NA;CARY
A;25;25;STEVEN;MICHAEL;HALL;1987;SC;NA;CHARLESTON
