B;6;B1;LINDA;KAY;MILLER;1988;NC;NA;ASHEVILLE
B;7;B2;WILLIAM;DAVID;WILSON;1965;NC;NA;DURHAM
B;8;B3;BARBARA;JEAN;MOORE;1995;NC;NA;CHARLOTTE
B;9;B4;RICHARD;ALLEN;TAYLOR;1978;SC;NA;RALEIGH
B;10;B5;SUSAN;MARIE;ANDERSON;1982;NC;NA;WILMINGTON
B;11;B6;CHARLES;EDWARD;THOMAS;1969;VA;NA;NORFOLK
B;12;B7;KAREN;ELIZABETH;JACKSON;1991;NC;NA;CARY
B;13;B8;THOMAS;RAY;WHITE;1977;SC;NA;COLUMBIA
B;14;B9;NANCY;LOUISE;HARRIS;1983;NC;NA;ASHEVILLE
B;15;B10;DANIEL;JOSEPH;MARTIN;1993;VA;NA;RICHMOND
B;16;B11;LISA;MICHELLE;THOMPSON;1986;NC;NA;DURHAM
B;17;B12;PAUL;ANTHONY;GARCIA;1974;SC;NA;CHARLESTON
B;18;B13;BETTY;ANN;MARTINEZ;1968;NC;NA;RALEIGH
B;19;B14;MARK;STEVEN;ROBINSON;1989;VA;NA;NORFOLK
B;20;B15;SANDRA;KAY;CLARK;1979;NC;NA;GREENSBORO
B;21;B16;GEORGE;HENRY;RODRIGUEZ;1971;SC;NA;COLUMBIA
B;22;B17;DONNA;MARIE;LEWIS;1984;NC;NA;WILMINGTON
B;23;B18;KENNETH;RAY;LEE;1992;VA;NA;RICHMOND
B;24;B19;CAROL;SUE;WALKER;1976;NC;NA;CARY
B;25;B20;STEVEN;MICHAEL;HALL;1987;SC;NA;CHARLESTON
B;26;B21;RUTH;ANN;ALLEN;1966;NC;NA;DURHAM
B;27;B22;EDWARD;JOHN;YOUNG;1994;VA;NA;NORFOLK
B;28;B23;SHARON;KAY;HERNANDEZ;1981;NC;NA;ASHEVILLE
B;29;B24;BRIAN;LEE;KING;1973;SC;NA;RALEIGH
B;30;B25;CYNTHIA;MARIE;WRIGHT;1990;NC;NA;CHARLOTTE
